Player ID,Player,Nationality,Team_Name,Position,Age,Season,Injury,Date of Injury,Date of return,Recovery Time(days),total_minutes_played,matches_played,total_yellow_cards,total_red_cards,Injury_Grouped,Injury_Grouped_Encoded,fatigue_level
183318,Jamaal Lascelles,-0.9702568256620882,-1.1730563017734934,-1.037614026832879,0.035966802427953797,2019/20,knee injury,2019-11-09,2020-01-13,65,0.417310125878864,0.07706103437449172,0.009089531993409599,-0.2288143809781378,Other,1,0.4173511037813709
135343,Fabian Schär,0.0960177613148376,-1.1730563017734934,-1.037614026832879,0.6261159687968264,2019/20,knee injury,2019-10-20,2019-11-24,35,0.6354896847175217,0.26424251968292506,1.8360854626687337,-0.2288143809781378,Other,1,0.6356880444051701
135343,Fabian Schär,0.0960177613148376,-1.1730563017734934,-1.037614026832879,0.6261159687968264,2019/20,hamstring strain,2020-01-02,2020-01-17,15,0.6354896847175217,0.26424251968292506,1.8360854626687337,-0.2288143809781378,Other,1,0.6356880444051701
135343,Fabian Schär,0.0960177613148376,-1.1730563017734934,-1.037614026832879,0.6261159687968264,2019/20,shoulder injury,2020-07-16,2020-09-28,74,0.6354896847175217,0.26424251968292506,1.8360854626687337,-0.2288143809781378,Other,1,0.6356880444051701
170321,Paul Dummett,1.3755472656871486,-1.1730563017734934,-1.037614026832879,0.6261159687968264,2019/20,groin injury,2019-12-22,2020-01-10,19,-0.057791156452044634,-0.20371119358815834,-0.29540978978581106,-0.2288143809781378,Other,1,-0.05757839526783377
98240,Ciaran Clark,-0.11723715608054756,-1.1730563017734934,-1.037614026832879,1.216265135165699,2019/20,calf injury,2019-12-09,2020-01-10,32,-1.1191225618307483,-1.6075723334014085,-0.5999091115650318,-0.2288143809781378,Other,1,-1.1189385233001912
98240,Ciaran Clark,-0.11723715608054756,-1.1730563017734934,-1.037614026832879,1.216265135165699,2019/20,ankle injury,2020-02-16,2020-09-14,211,-1.1191225618307483,-1.6075723334014085,-0.5999091115650318,-0.2288143809781378,Other,1,-1.1189385233001912
255916,DeAndre Yedlin,1.8020571004779187,-1.1730563017734934,1.336887901744829,0.035966802427953797,2019/20,groin problems,2019-04-28,2019-09-28,153,-0.44113468039286363,-0.7652556495134585,0.009089531993409599,-0.2288143809781378,Other,1,-0.4410676371327119
255916,DeAndre Yedlin,1.8020571004779187,-1.1730563017734934,1.336887901744829,0.035966802427953797,2019/20,hip injury,2019-11-27,2019-12-10,13,-0.44113468039286363,-0.7652556495134585,0.009089531993409599,-0.2288143809781378,Other,1,-0.4410676371327119
255916,DeAndre Yedlin,1.8020571004779187,-1.1730563017734934,1.336887901744829,0.035966802427953797,2019/20,hand injury,2020-01-05,2020-01-23,18,-0.44113468039286363,-0.7652556495134585,0.009089531993409599,-0.2288143809781378,Other,1,-0.4410676371327119
184528,Emil Krafth,1.1622923482917633,-1.1730563017734934,1.336887901744829,-0.2591077807564825,2019/20,ankle injury,2020-01-21,2020-06-20,151,0.04212284712827521,-0.20371119358815834,-0.9044084333442525,-0.2288143809781378,Other,1,0.04225943655586934
184528,Emil Krafth,1.1622923482917633,-1.1730563017734934,1.336887901744829,-0.2591077807564825,2019/20,ankle injury,2020-07-21,2020-09-11,52,0.04212284712827521,-0.20371119358815834,-0.9044084333442525,-0.2288143809781378,Other,1,0.04225943655586934
206225,Isaac Hayden,0.522527596105608,-1.1730563017734934,-0.24611338397364296,-0.2591077807564825,2019/20,hamstring strain,2020-07-05,2020-07-25,20,1.057575373311934,0.7321962329540085,0.3135888537726303,4.370354676682432,Other,1,1.0574329040716541
346707,Sean Longstaff,-0.9702568256620882,-1.1730563017734934,-0.5099469315933883,-1.1443315303097914,2019/20,ankle injury,2019-09-01,2019-09-28,27,-0.30349804280772913,-0.48448342155080837,0.009089531993409599,4.370354676682432,Other,1,-0.30344071943181267
346707,Sean Longstaff,-0.9702568256620882,-1.1730563017734934,-0.5099469315933883,-1.1443315303097914,2019/20,hamstring injury,2020-07-01,2020-07-25,24,-0.30349804280772913,-0.48448342155080837,0.009089531993409599,4.370354676682432,Other,1,-0.30344071943181267
92469,Matt Ritchie,-0.11723715608054756,-1.1730563017734934,1.6007214493645743,1.216265135165699,2019/20,ankle injury,2019-08-28,2020-01-03,128,0.010517397016133214,-0.48448342155080837,0.6180881755518509,-0.2288143809781378,Other,1,0.010535265696001085
272642,Allan Saint-Maximin,-0.757001908266703,-1.1730563017734934,1.0730543541250837,-0.8492569471253552,2019/20,hamstring strain,2019-09-22,2019-09-28,6,0.31739612229854414,0.07706103437449172,-1.208907755123473,-0.2288143809781378,Other,1,0.3175132719576678
272999,Miguel Almirón,1.5888021830825336,-1.1730563017734934,1.8645549969843198,0.035966802427953797,2019/20,hamstring injury,2019-12-09,2019-12-20,11,0.268458651157163,-0.016529708279724966,-0.29540978978581106,-0.2288143809781378,Other,1,0.26852741989463574
183318,Jamaal Lascelles,-0.9702568256620882,-1.1730563017734934,-1.037614026832879,0.3310413856123901,2020/21,hip injury,2020-09-28,2020-10-16,18,0.11043140059645305,-0.3908926788965917,0.6180881755518509,-0.2288143809781378,Other,1,0.11037309751970419
183318,Jamaal Lascelles,-0.9702568256620882,-1.1730563017734934,-1.037614026832879,0.3310413856123901,2020/21,muscle fatigue,2020-11-22,2021-01-17,56,0.11043140059645305,-0.3908926788965917,0.6180881755518509,-0.2288143809781378,Other,1,0.11037309751970419
