Player ID,Player,Nationality,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Recovery Time(days),total_minutes_played,matches_played,total_yellow_cards,total_red_cards,total_goals,total_assists,fatigue_level
425334,Matty Cash,Poland,Aston Villa,Right Back,26,2023/24,79,Hamstring injury,2024-03-21,2024-04-12,22.0,2277.0,34.0,6.0,0.0,3.0,2.0,44.01
425334,Matty Cash,Poland,Aston Villa,Right Back,26,2023/24,79,Ill,2023-12-29,2023-12-31,2.0,2277.0,34.0,6.0,0.0,3.0,2.0,44.01
329145,Diego Carlos,Brazil,Aston Villa,Center Back,31,2023/24,81,Hamstring injury,2024-02-14,2024-03-05,20.0,1046.0,17.0,2.0,0.0,0.0,1.0,20.22
413403,Ezri Konsa,England,Aston Villa,Center Back,26,2023/24,80,Knee injury,2024-02-04,2024-03-01,26.0,3942.0,45.0,10.0,0.0,0.0,0.0,76.19
249565,Youri Tielemans,Belgium,Aston Villa,Central Midfielder,27,2023/24,81,Groin injury,2024-04-27,2024-06-10,44.0,1986.0,35.0,3.0,0.0,0.0,4.0,38.38
249565,Youri Tielemans,Belgium,Aston Villa,Central Midfielder,27,2023/24,81,Calf injury,2023-12-13,2024-01-12,30.0,1986.0,35.0,3.0,0.0,0.0,4.0,38.38
126664,Lucas Digne,France,Aston Villa,Left Back,30,2023/24,79,Hamstring injury,2023-12-26,2024-02-06,42.0,2268.0,38.0,10.0,0.0,0.0,5.0,43.83
399776,Pau Torres,Spain,Aston Villa,Center Back,27,2023/24,82,Ankle injury,2024-01-05,2024-02-04,30.0,3646.0,42.0,7.0,0.0,3.0,1.0,70.47
399776,Pau Torres,Spain,Aston Villa,Center Back,27,2023/24,82,unknown injury,2023-12-18,2023-12-23,5.0,3646.0,42.0,7.0,0.0,3.0,1.0,70.47
193098,Álex Moreno,Spain,Aston Villa,Left Back,31,2023/24,80,minor knock,2024-04-15,2024-05-31,46.0,1690.0,27.0,3.0,0.0,1.0,3.0,32.66
649317,Jhon Durán,Colombia,Aston Villa,Center Forward,20,2023/24,68,unknown injury,2023-08-11,2023-08-13,2.0,402.0,28.0,5.0,0.0,3.0,0.0,7.77
649317,Jhon Durán,Colombia,Aston Villa,Center Forward,20,2023/24,68,infection,2023-10-21,2023-10-23,2.0,402.0,28.0,5.0,0.0,3.0,0.0,7.77
649317,Jhon Durán,Colombia,Aston Villa,Center Forward,20,2023/24,68,infection,2023-10-28,2023-11-06,9.0,402.0,28.0,5.0,0.0,3.0,0.0,7.77
649317,Jhon Durán,Colombia,Aston Villa,Center Forward,20,2023/24,68,Hamstring injury,2024-01-25,2024-03-08,43.0,402.0,28.0,5.0,0.0,3.0,0.0,7.77
503743,Morgan Rogers,England,Aston Villa,Attacking Midfielder,21,2023/24,67,Hamstring injury,2024-05-06,2024-06-01,26.0,361.0,5.0,2.0,0.0,4.0,3.0,6.98
387626,Leon Bailey,Jamaica,Aston Villa,Right winger,26,2023/24,80,Ill,2024-05-18,2024-05-31,13.0,2209.0,40.0,3.0,0.0,9.0,8.0,42.69
503749,Jacob Ramsey,England,Aston Villa,Attacking Midfielder,23,2023/24,78,Metatarsal fracture,2023-07-02,2023-09-20,80.0,2123.0,31.0,3.0,0.0,5.0,5.0,41.03
503749,Jacob Ramsey,England,Aston Villa,Attacking Midfielder,23,2023/24,78,Foot injury,2023-10-04,2023-11-24,51.0,2123.0,31.0,3.0,0.0,5.0,5.0,41.03
503749,Jacob Ramsey,England,Aston Villa,Attacking Midfielder,23,2023/24,78,Hamstring injury,2024-01-13,2024-01-29,16.0,2123.0,31.0,3.0,0.0,5.0,5.0,41.03
503749,Jacob Ramsey,England,Aston Villa,Attacking Midfielder,23,2023/24,78,Toe injury,2024-03-03,,,2123.0,31.0,3.0,0.0,5.0,5.0,41.03
394327,Boubacar Kamara,France,Aston Villa,Defensive Midfielder,24,2023/24,80,Knee injury,2024-02-11,,,2534.0,33.0,8.0,1.0,1.0,2.0,48.98
80444,Philippe Coutinho,Brazil,Aston Villa,Attacking Midfielder,32,2023/24,79,Hamstring injury,2023-08-20,2023-09-25,36.0,298.0,10.0,1.0,0.0,1.0,0.0,5.76
177907,Harry Maguire,England,Man United,Center Back,27,2020/21,80,Ankle injury,2021-05-09,2021-06-13,35.0,4444.0,49.0,12.0,0.0,4.0,3.0,85.89
177907,Harry Maguire,England,Man United,Center Back,28,2021/22,80,Calf injury,2021-09-25,2021-10-15,20.0,4339.0,49.0,16.0,0.0,2.0,1.0,83.86
177907,Harry Maguire,England,Man United,Center Back,28,2021/22,80,Chest injury,2022-01-01,2022-01-14,13.0,4339.0,49.0,16.0,0.0,2.0,1.0,83.86
177907,Harry Maguire,England,Man United,Center Back,28,2021/22,80,Knee problems,2022-04-26,2022-05-03,7.0,4339.0,49.0,16.0,0.0,2.0,1.0,83.86
177907,Harry Maguire,England,Man United,Center Back,29,2022/23,80,Hamstring injury,2022-09-26,2022-10-25,29.0,1850.0,27.0,7.0,0.0,1.0,0.0,35.76
286384,Eric Bailly,Cote d'Ivoire,Man United,Center Back,26,2019/20,77,Knee surgery,2019-07-25,2020-01-10,169.0,395.0,7.0,0.0,0.0,0.0,0.0,7.63
286384,Eric Bailly,Cote d'Ivoire,Man United,Center Back,26,2019/20,77,Neck injury,2020-07-20,2020-07-25,5.0,395.0,7.0,0.0,0.0,0.0,0.0,7.63
286384,Eric Bailly,Cote d'Ivoire,Man United,Center Back,27,2020/21,77,Muscle injury,2020-10-18,2020-12-01,44.0,997.0,15.0,3.0,0.0,0.0,0.0,19.27
286384,Eric Bailly,Cote d'Ivoire,Man United,Center Back,27,2020/21,77,Knock,2021-01-21,2021-03-25,63.0,997.0,15.0,3.0,0.0,0.0,0.0,19.27
286384,Eric Bailly,Cote d'Ivoire,Man United,Center Back,27,2020/21,77,Coronavirus,2021-03-31,2021-04-20,20.0,997.0,15.0,3.0,0.0,0.0,0.0,19.27
286384,Eric Bailly,Cote d'Ivoire,Man United,Center Back,28,2021/22,77,Ankle injury,2022-02-03,2022-02-16,13.0,1556.0,20.0,4.0,0.0,0.0,1.0,30.07
342046,Axel Tuanzebe,DR Congo,Man United,Center Back,22,2019/20,73,Hip injury,2019-10-19,2019-11-23,35.0,457.0,8.0,0.0,0.0,0.0,0.0,8.83
342046,Axel Tuanzebe,DR Congo,Man United,Center Back,22,2019/20,73,Hamstring strain,2019-12-18,2020-03-05,78.0,457.0,8.0,0.0,0.0,0.0,0.0,8.83
342046,Axel Tuanzebe,DR Congo,Man United,Center Back,23,2020/21,73,Ankle injury,2020-06-18,2020-10-19,123.0,248.0,7.0,3.0,0.0,0.0,0.0,4.79
342046,Axel Tuanzebe,DR Congo,Man United,Center Back,24,2022/23,73,unknown injury,2022-07-13,2023-01-23,194.0,130.0,2.0,1.0,0.0,0.0,0.0,2.51
183288,Luke Shaw,England,Man United,Left Back,24,2019/20,83,Hamstring injury,2019-08-24,2019-10-07,44.0,2478.0,31.0,10.0,0.0,0.0,5.0,47.89
183288,Luke Shaw,England,Man United,Left Back,24,2019/20,83,Muscle injury,2019-10-18,2019-11-27,40.0,2478.0,31.0,10.0,0.0,0.0,5.0,47.89
